OBJECTID,APN,ZONE_CODE,COUNT,AREA_WBLDGS,MEAN_WBLDGS,COUNT,AREA_NOBLDGS,MEAN_NOBLDGS,APN,SchoolName,OBJECTID_1,X,Y,OBJECTID,SchoolName,CountyName,DistrictName,SchoolClass,mean_pctpoc,mean_priority_i,mean_pctpov,mean_child_perc,mean_seniorperc,mean_tes,mean_health_nor,sum_Area_SQUAREKILOMETERS,Polygon_Count,Shape_Length,Shape_Area
15,14932001B,16,5712672,228506.88,0.03843542917,4698425,187937,0.04587771434,14932001B,Moon Valley High School,12,-112.1372891,33.59599478,1125,Moon Valley High School,Maricopa,Glendale Union High School District,District,0.330,0.240,0.247,0.171,0.081,49.225,0.184,2.031,6.000,0.050,0.000
33,30158008A,34,6925116,277004.64,0.03612863669,5842766,233710.64,0.04279257461,30158008A,Mountain Pointe High School,49,-111.9912892,33.32649481,1553,Mountain Pointe High School,Maricopa,Tempe Union High School District,District,0.330,0.257,0.182,0.151,0.161,57.100,0.180,2.031,11.000,0.050,0.000
12,11728001,13,3803812,152152.48,0.02111434529,2921916,116876.64,0.0264107524,11728001,North High School,35,-112.0579892,33.47949479,1343,North High School,Maricopa,Phoenix Union High School District,District,0.162,0.215,0.157,0.110,0.095,68.510,0.170,2.031,7.000,0.050,0.000
34,21401001H,35,5475067,219002.68,0.01086178489,3842890,153715.6,0.01503790116,21401001H,Paradise Valley High School,47,-111.998038,33.64129726,1539,Paradise Valley High School,Maricopa,Paradise Valley Unified District,District,0.115,0.122,0.074,0.069,0.038,38.023,0.104,2.031,8.000,0.050,0.000
11,11144143,12,300670,12026.8,0.08880167626,151439,6057.56,0.1696062441,11144143,Phoenix Union Bioscience High School,30,-112.0668892,33.45589479,1313,Phoenix Union Bioscience High School,Maricopa,Phoenix Union High School District,District,0.324,0.241,0.288,0.056,0.037,50.934,0.233,2.031,10.000,0.050,0.000
40,21238022A,41,8085828,323433.12,0.0314101413,7526597,301063.88,0.03370620215,21238022A,Pinnacle High School,45,-112.007798,33.68131889,1500,Pinnacle High School,Maricopa,Paradise Valley Unified District,District,0.066,0.069,0.012,0.075,0.016,21.638,0.034,2.031,5.000,0.050,0.000
2,10241299C,2,89656,3586.24,0,65927,2637.08,0,10241299C,Precision Academy / Midtown High School,3,-112.2170891,33.4647948,961,Precision Academy / Midtown High School,Maricopa,Avondale Learning dba Precision Academy,Charter,0.461,0.273,0.313,0.179,0.030,31.869,0.217,2.031,7.000,0.050,0.000
1,10220951,1,288406,11536.24,0.08580958787,204238,8169.52,0.1210940178,10220951,Premier Charter High School,2,-112.2224891,33.49599479,954,Premier Charter High School,Maricopa,Premier Charter High School,Charter,0.574,0.382,0.298,0.217,0.071,45.097,0.359,2.031,11.000,0.050,0.000
31,30043021,32,249230,9969.2,0.08273883561,188384,7535.36,0.1094466621,30043021,Quest High School,28,-112.0715892,33.3735948,1287,Quest High School,Maricopa,Kaizen Education Foundation dba Tempe Accelerated High School,Charter,0.414,0.308,0.418,0.171,0.070,45.729,0.231,2.031,9.000,0.050,0.000
19,16631003,20,5929783,237191.32,0.02454575488,4782465,191298.6,0.03042928699,16631003,Shadow Mountain High School,44,-112.0193892,33.58289477,1475,Shadow Mountain High School,Maricopa,Paradise Valley Unified District,District,0.142,0.171,0.067,0.093,0.139,51.034,0.135,2.031,6.000,0.050,0.000
45,11356020A,46,7423464,296938.56,0.03642275358,6169337,246773.48,0.04359885025,11356020A,South Mountain High School,34,-112.0628117,33.39674966,1333,South Mountain High School,Maricopa,Phoenix Union High School District,District,0.535,0.312,0.320,0.186,0.064,54.039,0.259,2.031,8.000,0.050,0.000
30,30043013,31,893401,35736.04,0.0952416664,751281,30051.24,0.1100440448,30043013,South Pointe High School,29,-112.0725892,33.3709948,1288,South Pointe High School,Maricopa,American Charter Schools Foundation d.b.a. South Pointe High School,Charter,0.523,0.359,0.450,0.199,0.074,55.732,0.278,2.031,8.000,0.050,0.000
4,10416029,4,507649,20305.96,0.1585859521,439070,17562.8,0.1831985788,10416029,South Ridge High School,4,-112.2044891,33.4384948,991,South Ridge High School,Maricopa,American Charter Schools Foundation d.b.a. South Ridge High School,Charter,0.165,0.102,0.106,0.066,0.007,11.839,0.064,2.031,3.000,0.050,0.000
3,10333503,3,1672822,66912.88,0.008461749068,1501328,60053.12,0.009428319461,10333503,Southwest Leadership Academy,7,-112.1523892,33.45429479,1076,Southwest Leadership Academy,Maricopa,Southwest Leadership Academy,Charter,0.240,0.167,0.189,0.094,0.009,24.352,0.143,2.031,5.000,0.050,0.000
13,11732094A,14,116704,4668.16,0.001945091856,48226,1929.04,0.004147140547,11732094A,Summit High School,33,-112.0637892,33.46619479,1330,Summit High School,Maricopa,Kaizen Education Foundation dba Summit High School,Charter,0.331,0.224,0.177,0.075,0.059,56.048,0.168,2.031,9.000,0.050,0.000
51,16063004C,52,4099957,163998.28,0.02142485885,3269110,130764.4,0.02652923884,16063004C,Sunnyslope High School,26,-112.0766892,33.56729477,1266,Sunnyslope High School,Maricopa,Glendale Union High School District,District,0.275,0.209,0.156,0.122,0.075,47.701,0.167,2.031,9.000,0.050,0.000
20,16714001E,21,1506439,60257.56,0.06518484983,1263972,50558.88,0.07725250243,16714001E,Sweetwater Community School,50,-111.9899342,33.6065224,1563,Sweetwater Community School,Maricopa,Paradise Valley Unified District,District,0.210,0.246,0.261,0.106,0.140,66.700,0.213,2.031,10.000,0.050,0.000
36,20816001Q,37,5544341,221773.64,0.04517344803,4883436,195337.44,0.05053327206,20816001Q,Thunderbird High School,22,-112.0962892,33.61239477,1226,Thunderbird High School,Maricopa,Glendale Union High School District,District,0.177,0.151,0.128,0.060,0.086,41.515,0.109,2.031,5.000,0.050,0.000
5,10578257A,6,457788,18311.52,0.1197956259,426643,17065.72,0.127441444,10578257A,Victory High School - Campus,24,-112.0942892,33.3929948,1233,Victory High School - Campus,Maricopa,"Victory High School, Inc.",Charter,0.592,0.309,0.264,0.176,0.046,53.726,0.256,2.031,7.000,0.050,0.000
25,15609001,26,5503890,220155.6,0.02758140152,4510167,180406.68,0.0318881762,15609001,Washington High School,20,-112.1077892,33.53749478,1211,Washington High School,Maricopa,Glendale Union High School District,District,0.563,0.332,0.289,0.221,0.058,62.546,0.329,2.031,10.000,0.050,0.000
8,10811091,9,615333,24613.32,0.1252005012,521872,20874.88,0.1456794003,10811091,West Phoenix High School,10,-112.1421892,33.48019479,1113,West Phoenix High School,Maricopa,American Charter Schools Foundation d.b.a. West Phoenix High School,Charter,0.677,0.377,0.317,0.191,0.082,52.010,0.328,2.031,8.000,0.050,0.000
39,10301094,40,960037,38401.48,0.05705717592,875075,35003,0.06259692026,10301094,Western School of Science and Technology,5,-112.2001379,33.49361751,1003,Western School of Science and Technology,Maricopa,"Western School of Science and Technology, Inc.",Charter,0.553,0.302,0.312,0.192,0.028,44.811,0.257,2.031,10.000,0.050,0.000
