ID,SC2,SC5,DE14,HH1,HH2,EL6,CI6,CI7,DE3,DE4,CI12_1,CI12_2
ts45,1,5,85281,1,0,0,-2,-2,3,0,1,2
ts46,0,4,85282,2,0,0,0,0,2,0,1,1
ts47,0,4,85283,1,0,0,0,0,2,0,1,2
ts48,0,4,85284,0,0,0,-2,0,2,1,2,2
ts49,0,4,85282,1,0,-1,0,-1,3,1,1,1
ts50,1,3,85282,2,0,0,0,0,2,1,2,2
ts51,0,4,85281,1,0,0,0,0,1,0,2,2
ts52,0,4,85283,3,1,1,0,-1,1,0,-1,-1
ts53,1,3,85282,3,1,0,-1,1,2,1,2,2
ts54,0,5,85284,1,0,1,0,0,3,1,2,2
ts55,0,5,85283,2,1,0,0,0,2,0,1,2
ts56,0,5,85284,1,0,1,0,0,3,1,1,0
ts57,0,4,85283,1,0,0,0,-1,1,0,1,1
ts58,0,5,85284,1,0,0,-1,0,2,0,1,1
ts59,0,3,85283,2,1,-1,0,0,NA,0,-1,-1
ts60,0,4,85282,3,0,2,0,0,1,1,1,1
ts61,0,4,85282,1,0,0,0,0,2,0,2,2
ts62,0,5,85284,2,0,0,0,0,1,1,0,-1
ts63,0,4,85282,2,0,1,NA,1,2,1,2,0
ts64,0,5,85284,2,0,1,0,0,2,0,1,1
ts65,0,4,85284,2,0,1,0,0,2,0,-1,1
ts66,1,5,85282,3,0,2,-1,0,1,0,-1,1
ts67,0,4,85284,1,0,-1,0,0,2,0,1,1
ts68,0,4,85284,2,0,1,0,0,2,0,1,1
ts69,0,4,85283,0,0,1,-1,0,2,1,2,2
ts70,0,2,85282,2,1,1,0,0,2,0,-1,-1
ts71,0,4,85284,2,0,0,0,0,2,1,1,1
ts72,0,5,85284,1,0,1,0,0,2,0,2,2
ts73,0,4,85283,0,0,-1,0,0,2,0,1,1
ts74,0,4,85284,1,0,1,0,-1,2,1,1,1
ts75,0,4,85282,4,0,NA,0,NA,1,0,-1,1
ts76,0,5,85283,3,0,0,1,1,3,NA,0,0
ts77,0,4,85284,2,0,0,0,NA,2,1,0,0
ts78,0,2,85281,2,0,1,2,1,1,1,-1,-1
ts79,0,4,85283,2,0,0,0,NA,2,0,NA,1
ts80,0,4,85284,1,0,0,NA,0,2,0,-1,1
ts81,0,4,85284,1,0,1,0,0,NA,0,1,1
ts82,1,5,85281,0,0,0,0,0,2,1,1,1
ts83,0,5,85284,1,0,NA,-2,NA,2,1,1,2
ts84,0,4,85284,1,0,-1,-1,0,2,NA,2,2
ts85,0,4,85284,1,0,-1,NA,0,2,1,-1,1
ts86,0,4,85283,2,0,-1,0,0,1,1,-2,-1
ts87,0,4,85284,1,0,2,0,0,2,0,2,2
ts88,0,5,85284,0,0,NA,NA,NA,2,0,0,0
ts89,0,5,85284,2,0,0,0,0,2,0,1,1
ts90,1,4,85284,2,1,1,1,0,2,0,-2,1
ts91,0,4,85282,2,1,1,NA,0,2,0,1,1
