"SID","Q01_PrimaryMajor","Q02_AsuYears","Q03_InPersonOnline","Q04_MilestoCoorHall","Q05_TimeToCoorHall","Q06_LivingArrangement","Q07_PrimaryResidence","Q08_HighSchoolState","Q09_HoursOutsideADay","Q10_WorkWeekSleepHours","Q11_WeekendSleepHours","Q12_Beverages ","Q13_HoursForClass","Q14_MileRun","Q15_PushUps","Q16_OutdoorActivity","Q17_IndoorActivity","Q18_temperatureIndoor","Q19_Sunscreen","Q20_50States","Q21_LiveinTempe","Q22_PublicTranspoHowOften","Q24_PublicTranspoFrequency","Q25_PersonalVehicle","Q25_RideshareDays","Q26_BicycleDays","Q27_WeeklyCommuteTime","Q28_MonthlyGasolineCost","Q29_ParkingCost","Q30_DreamCar","Q31_SelfDriving","Q32_AbroadTravel","Q33_TravelToCampus","Q34_TravelOnCampus","Q35_LightRailConvenience","Q36_LightRailSafety","Q37_BikeSafetyWalkOnly","Q38_BikeSafetyMixedUse","Q39_GroceryStores","Q40_WalkingStore","Q41_WalkingPlaces","Q42_WalkingToTransit","Q43_noisefromcars","Q44_noisefromairplanes","Q45_QOLPresent","Q46_QOL10","Q47_ThreatFloods","Q48_ThreatExtremeHeat","Q49_ThreatAirPollution","Q50_ThreatDrought","Q51_ThreatLossOfNature","Q52_ThreatHousingAfford","Q53_ThreatPopGrowth","Q54_WildlifeCoyotes","Q55_WildlifeFoxes","Q56_WildlifeLizards","Q57_WildlifeRabbits","Q58_WildlifeSnakes","Q59_WildlifeScorpions","Q60_WildlifeBees","Q61_WildlifeCockRoaches","Q62_WildlifeBats","Q63_WorkHours","Q64_PetTypes","Q65_ZodiacSign","Q66_ComicUniverse","Q67_ArizonaSeason","Q68_BirthYear","Q69_Gender","Q70_Political","Q71_FavNumber","Q72_FavColor"
"S11",1,1,1,2.5,15,1,3,2,6,8.5,10,0,2,7,60,100,115,72,2,9,1,3,2,1,0,0,10,80,20,3,0,1,4,1,4,3,NA,NA,2,-1,-1,2,0,0,3,0,0,3,1,3,1,3,2,2,2,2,2,2,2,2,2,-2,0,1,8,1,2,1999,1,1,3,4
"S12",1,1,1,24.5,34,1,1,1,6,9,11,0,4,20,0,91,99,93,4,7,0,0,-2,1,0,0,8,500,300,1,0,1,1,1,NA,NA,1,4,1,2,2,2,1,2,3,2,1,3,2,NA,NA,NA,3,-1,-1,-2,1,-1,-2,-2,-2,-1,NA,2,4,NA,1,1998,0,5,7,2
"S13",2,3,1,4.4,10,1,1,2,1,8,9,0,3,7.5,20,95,83,78,2,7,1,0,1,1,0,0,2,33,23,1,1,0,3,1,3,2,3,3,2,-1,1,-1,0,0,2,-1,3,3,2,3,2,2,2,1,1,2,2,-2,-2,0,-1,0,20,1,8,0,1,2001,1,3,2,2
"S14",2,2,1,25,68,1,1,1,2,6,6,7,3,12.5,10,100,85,65,1,2,0,4,-1,0,0,0,16,0,0,1,1,1,4,1,5,4,3,4,1,2,1,2,1,2,2,-1,2,2,3,1,2,2,3,0,0,1,1,0,0,1,0,0,0,1,2,2,1,1997,1,2,88,1
"S15",2,3,1,1,20,1,3,2,8,6,8,6,2,20,10,110,90,75,3,5,1,3,2,0,4,0,4,0,0,1,0,1,1,1,5,4,4,3,2,1,1,1,2,1,2,0,3,3,3,3,2,2,2,0,0,0,2,-1,0,0,1,0,0,1,10,0,1,1999,0,5,19,1
"S16",1,2,1,NA,9.4,1,1,1,3,7,8,5,2,15.5,15,105,83,73,1,34,0,2,2,1,0,0,6.5,100,0,3,0,1,4,1,4,4,NA,NA,1,-1,0,2,1,1,2,-1,2,3,3,3,2,3,1,1,1,1,1,0,-2,1,-2,0,27,2,6,0,3,1997,1,3,22,1
"S17",2,2,1,0.2,7,1,2,2,6,6,9,4,5,9.92,35,100,80,75,1,4,0,0,0,0,3,0,0,80,0,3,0,1,1,1,NA,NA,4,4,1,2,2,2,2,0,3,-1,2,3,3,3,3,3,3,2,1,2,2,-1,-1,1,-2,1,0,0,12,2,2,2001,0,2,27,1
"S18",NA,5,1,16,25,1,1,1,2,7,6,3,2,15,20,90,85,72,4,16,0,1,2,1,3,0,4,75,100,1,1,1,3,1,2,3,2,2,1,-2,-2,-1,1,1,2,-1,2,3,3,3,3,3,2,1,1,1,2,-1,-1,2,-1,1,8,0,6,1,3,1994,2,3,75,2
"S19",1,2,1,1.2,20,1,1,1,6,4,7,7,0,8,10,97,90,85,1,6,1,0,0,1,0,0,1,30,80,2,1,0,1,1,3,3,1,1,-2,0,2,2,1,0,3,0,0,0,0,0,0,2,2,2,2,2,2,2,-2,-2,-2,-2,0,2,9,0,2,2001,1,3,69,3
"S20",1,3,1,13,30,1,1,1,3,7,8,3,4,10,10,105,80,75,0,3,0,0,0,1,0,0,4,100,23,3,1,1,3,1,4,4,NA,NA,2,-1,1,2,1,0,2,1,2,3,3,3,3,3,2,-1,-1,2,2,-1,NA,2,-1,0,20,2,8,1,1,2000,1,2,3,1
"S21",1,3,2,5,20,1,1,1,3,5,6,7,1,15,15,90,78,74,1,7,1,2,0,1,0,0,80,150,0,3,0,1,4,1,4,2,NA,NA,2,1,-1,2,0,0,2,-1,0,3,3,3,3,3,2,1,1,1,2,2,1,1,1,2,40,1,11,1,1,1998,0,3,26,2
"S22",NA,1,1,10,30,1,1,2,4,8,9,7,5,10.3,0,110,80,76,1,39,0,0,1,1,0,0,7,500,66.6,1,0,1,3,1,3,2,1,3,-1,-2,-2,-2,2,2,4,-1,2,3,2,3,2,3,3,-2,0,1,2,-1,-1,-1,-2,-2,0,1,12,2,4,1994,1,1,14,1
"S23",2,2,2,6.36,120,1,1,1,4,8,10,6,2,16.5,12,110,95,80,1,2,0,3,0,0,0,0,8,0,0,1,1,0,4,1,4,3,5,5,0,2,2,2,1,0,1,1,3,3,2,3,2,3,3,0,0,2,2,-1,-2,1,-2,-1,16,2,1,0,4,1999,1,3,44,1
"S24",1,1,1,1.8,15,1,1,1,4,25,16,1,3,8,40,115,100,74,4,5,1,3,1,0,0,0,7,60,0,1,0,1,4,2,4,3,4,1,-1,-2,0,-2,4,3,1,-1,2,3,3,2,2,3,3,-1,-1,1,2,1,2,2,1,-2,25,1,9,1,1,2000,1,2,6,3
"S25",1,5,1,1.6,10,1,1,1,1.5,8,9.5,5,2,11.5,10,95,83,78,4,40,1,2,2,1,0,5,2.5,0,0,3,0,0,2,2,4,1,4,4,2,1,1,1,2,1,2,0,2,3,3,3,2,3,2,-1,0,2,2,-1,-2,-1,-1,1,30,2,2,1,2,1998,0,4,37,4
"S26",1,4,1,2,30,1,1,2,1,5,8,7,2,10.45,0,85,85,72,3,43,1,3,0,1,3,0,2,100,12,3,1,1,4,1,5,3,1,3,2,-2,-1,2,2,0,0,-2,3,3,3,3,3,3,3,-1,0,2,2,-2,-2,2,-2,2,37,1,4,1,2,2000,2,3,72,1
"S27",2,1,1,23,80,1,1,1,1,8,9,3,6,5,30,85,80,75,2,6,0,3,0,1,0,0,10.7,40,28,1,1,0,4,1,3,2,4,3,2,0,0,2,1,1,2,-1,3,3,3,3,2,2,3,-1,0,2,2,-2,-2,1,-1,0,25,0,1,1,1,1999,1,3,3,4
"S28",NA,4,1,1.2,10,1,1,1,2,5,8,0,0,6,20,90,80,65,0,8,1,0,-2,1,0,0,0.33,90,50,3,0,1,3,2,NA,NA,NA,NA,2,2,1,2,0,0,3,1,1,3,3,3,2,3,3,2,2,2,2,1,-2,1,-2,1,30,0,1,1,1,2000,1,5,69,1
